t,Potential,Kinetic,Total,Virial
431000,748.141,7136.96,7885.1,139891
432000,750.898,7134.08,7884.97,140105
433000,782.324,7102.69,7885.01,140899
434000,612.642,7272.15,7884.79,136275
435000,292.437,7592.54,7884.98,127784
436000,500.993,7384.17,7885.16,133363
437000,645.12,7239.85,7884.96,137137
438000,418.11,7466.8,7884.91,130797
439000,309.44,7575.53,7884.97,127565
440000,289.751,7595.29,7885.04,127157
441000,534.002,7351.16,7885.17,133905
442000,758.4,7126.6,7884.99,139884
443000,580.373,7304.55,7884.92,135108
444000,507.293,7377.75,7885.05,133243
445000,737.207,7147.87,7885.08,139522
446000,758.515,7126.45,7884.96,140169
447000,642.59,7242.33,7884.91,136849
448000,622.659,7262.42,7885.08,136190
449000,795.002,7090.01,7885.01,140661
450000,562.538,7322.3,7884.84,134440
451000,393.271,7491.7,7884.97,129758
452000,309.359,7575.64,7885,127542
453000,456.942,7428.19,7885.13,131525
454000,502.863,7382.05,7884.91,132666
455000,368.636,7516.38,7885.01,128994
456000,419.13,7465.93,7885.07,130461
457000,598.171,7286.89,7885.06,135526
458000,514.841,7370.15,7884.99,133731
459000,640.076,7245.07,7885.14,137202
460000,774.71,7110.28,7884.99,140693
461000,580.956,7303.96,7884.91,135395
462000,550.344,7334.73,7885.08,134410
463000,629.525,7255.49,7885.02,136467
464000,591.884,7293.13,7885.01,135590
465000,632.572,7252.43,7885,136712
466000,496.172,7388.78,7884.95,133144
467000,481.441,7403.65,7885.09,132763
468000,674.349,7210.72,7885.07,137783
469000,540.201,7344.61,7884.81,134074
470000,384.205,7500.95,7885.16,129987
471000,702.383,7182.66,7885.04,138454
472000,587.219,7297.77,7884.99,135489
473000,647.015,7238.04,7885.05,136979
474000,642.394,7242.63,7885.02,136967
475000,677.707,7207.3,7885.02,137892
476000,635.375,7249.6,7884.98,136585
477000,575.036,7309.96,7885,134729
478000,626.116,7258.94,7885.06,135912
479000,518.585,7366.3,7884.88,132994
480000,236.666,7648.28,7884.95,125571
