vx,vy,vz,v
-1.158902,-1.727062,-3.711045,18.097652
-1.782420,1.800704,6.497361,48.635262
1.840572,3.124866,0.640243,13.562400
-1.932912,3.685488,7.292924,70.505722
-0.390427,-4.986031,-2.592762,31.735352
1.542351,4.353740,1.787272,24.528242
0.747169,4.912741,-6.284191,64.184341
-0.530619,-6.225827,-4.652111,60.684608
2.733145,5.165731,0.510461,34.415432
-4.370739,-3.934198,-4.259047,52.720749
2.713965,1.909808,-3.127491,20.794170
-2.149995,2.137420,2.910217,17.660408
-2.219899,3.609902,-2.714256,25.326530
-0.083409,1.425636,3.761965,16.191772
-0.595352,-5.328535,-5.033323,54.082069
0.490603,1.187370,0.451590,1.854472
-2.031713,-8.997497,-1.282308,86.727119
3.890074,6.423864,-3.402178,67.973526
2.285363,1.846613,5.548020,39.413391
0.386207,0.857312,-3.516795,13.251987
3.669499,6.028100,1.842955,53.199688
-3.160057,3.516617,2.616476,29.198502
-1.039206,5.020455,-3.059738,35.646915
-1.636876,-1.285781,2.997601,13.318207
1.403277,-4.409670,1.885234,24.968487
-2.695495,1.818945,-1.133823,11.859807
-1.252954,2.033165,-0.156858,5.728259
0.692712,-2.961359,0.921157,10.098028
0.454301,3.517641,-0.605109,12.946342
2.951412,2.417855,0.650488,14.979988
-3.434017,-2.389838,2.663785,24.599545
-0.168062,2.152133,-4.623861,26.040009
0.697966,2.510042,-3.021027,15.914071
1.678341,5.170661,-0.779124,30.159597
-0.784673,-5.967550,3.793088,50.614883
3.184364,-4.021812,5.188213,53.232700
-2.554490,3.219205,1.596012,19.435955
1.166656,-4.708228,-8.211386,90.955353
-0.969293,-4.639017,6.500805,64.720467
-2.052032,-3.243917,5.065450,40.392612
-3.512652,5.833851,6.244680,85.368568
-0.316084,3.332597,-2.530883,17.611479
0.113424,6.765892,4.042798,62.134369
-3.205054,5.701825,-3.152770,52.723133
-3.739490,1.911330,-0.287191,17.719446
1.138170,-3.814105,3.729886,29.754875
1.349864,5.020342,2.994982,35.995884
-1.271171,-3.797818,-1.887080,19.600365
0.493330,-0.907109,-2.630701,7.986811
2.003117,2.884490,-3.579281,25.144012
0.405870,-5.329102,-1.445077,30.652306
0.342021,0.615218,2.494312,6.717062
-1.013975,-0.487363,4.550055,21.968666
5.037395,0.119136,-1.498438,27.634859
0.285790,-2.292256,-3.424058,17.060286
-2.024704,-5.220477,-6.244150,70.342209
-3.212511,-0.649471,-3.033918,19.946697
1.579154,2.085305,2.605035,13.628431
-2.533687,4.635786,2.031351,32.036461
-0.473030,-2.721236,-1.238298,9.162265
0.606776,-0.446283,-1.091438,1.758582
0.241434,-4.352846,0.001112,19.005558
-1.944335,-4.036125,-0.630895,20.468773
1.300337,1.734202,-1.466893,6.850109
-0.974617,-3.832078,5.345608,44.210228
3.743665,4.502869,-2.386683,39.987114
0.636455,-3.861738,3.761988,29.470650
1.044696,4.533849,-0.043500,21.649069
1.776984,3.119526,-5.231531,40.258034
1.058132,-0.229485,-0.824523,1.852145
