Particles,Step,Potential,Kitetic,Total
512,2859,12.3889,2958.84,2971.23
512,2864,12.3665,2958.87,2971.23
512,2869,12.3449,2958.88,2971.23
512,2874,12.3236,2958.9,2971.23
512,2879,12.3021,2958.93,2971.23
512,2884,12.2798,2958.95,2971.23
512,2889,12.2582,2958.97,2971.23
512,2894,12.2372,2958.99,2971.23
512,2899,12.2162,2959.01,2971.23
512,2904,12.1952,2959.04,2971.23
512,2909,12.1733,2959.06,2971.23
512,2914,12.1526,2959.08,2971.23
512,2919,12.1317,2959.1,2971.23
512,2924,12.1105,2959.12,2971.23
512,2929,12.0894,2959.14,2971.23
512,2934,12.0691,2959.16,2971.23
512,2939,12.0484,2959.18,2971.23
512,2944,12.0275,2959.2,2971.23
512,2949,12.007,2959.22,2971.23
512,2954,11.9862,2959.25,2971.23
512,2959,11.9658,2959.26,2971.23
512,2964,11.9456,2959.29,2971.23
512,2969,11.9255,2959.31,2971.23
512,2974,11.905,2959.33,2971.23
512,2979,11.8848,2959.35,2971.23
512,2984,11.8649,2959.37,2971.23
512,2989,11.845,2959.38,2971.23
512,2994,11.8246,2959.4,2971.23
512,2999,11.8049,2959.43,2971.23
512,3004,11.7846,2959.45,2971.23
512,3009,11.7653,2959.47,2971.23
512,3014,11.7454,2959.48,2971.23
512,3019,11.726,2959.5,2971.22
512,3024,11.7063,2959.53,2971.23
512,3029,11.687,2959.55,2971.23
512,3034,11.6677,2959.56,2971.23
512,3039,11.6481,2959.58,2971.23
512,3044,11.6288,2959.6,2971.23
512,3049,11.6092,2959.63,2971.23
512,3054,11.5902,2959.65,2971.24
512,3059,11.5712,2959.66,2971.23
512,3064,11.5521,2959.67,2971.23
512,3069,11.5332,2959.69,2971.23
512,3074,11.5147,2959.72,2971.23
512,3079,11.4953,2959.74,2971.24
512,3084,11.4763,2959.76,2971.23
512,3089,11.4576,2959.77,2971.23
512,3094,11.439,2959.79,2971.23
512,3099,11.4209,2959.81,2971.23
512,3104,11.4018,2959.83,2971.24
512,3109,11.3832,2959.85,2971.23
512,3114,11.3649,2959.86,2971.22
512,3119,11.3466,2959.88,2971.23
512,3124,11.3285,2959.91,2971.23
512,3129,11.3101,2959.92,2971.23
512,3134,11.2918,2959.94,2971.23
512,3139,11.2737,2959.95,2971.22
512,3144,11.2558,2959.97,2971.23
512,3149,11.2374,2959.99,2971.23
512,3154,11.2194,2960.01,2971.23
512,3159,11.2019,2960.03,2971.24
512,3164,11.1837,2960.04,2971.23
512,3169,11.1661,2960.06,2971.23
512,3174,11.1483,2960.09,2971.23
512,3179,11.1302,2960.1,2971.23
512,3184,11.113,2960.12,2971.23
512,3189,11.0952,2960.13,2971.23
512,3194,11.0776,2960.15,2971.22
512,3199,11.0607,2960.16,2971.22
512,3204,11.0432,2960.19,2971.23
512,3209,11.0254,2960.2,2971.23
512,3214,11.0083,2960.22,2971.23
512,3219,10.9911,2960.24,2971.23
512,3224,10.9739,2960.26,2971.23
512,3229,10.9567,2960.27,2971.23
512,3234,10.9396,2960.29,2971.23
512,3239,10.9224,2960.31,2971.23
512,3244,10.9054,2960.33,2971.23
512,3249,10.8884,2960.34,2971.23
512,3254,10.8719,2960.36,2971.23
512,3259,10.8553,2960.38,2971.24
512,3264,10.8381,2960.39,2971.23
512,3269,10.8217,2960.41,2971.23
512,3274,10.8045,2960.43,2971.23
512,3279,10.7878,2960.44,2971.23
512,3284,10.7713,2960.46,2971.23
512,3289,10.7551,2960.47,2971.23
512,3294,10.7388,2960.49,2971.23
512,3299,10.7222,2960.51,2971.23
512,3304,10.706,2960.53,2971.24
512,3309,10.6895,2960.54,2971.23
512,3314,10.6738,2960.55,2971.23
512,3319,10.6569,2960.58,2971.23
512,3324,10.6407,2960.59,2971.23
512,3329,10.6248,2960.61,2971.23
512,3334,10.6087,2960.62,2971.23
512,3339,10.5927,2960.64,2971.23
512,3344,10.5765,2960.65,2971.23
512,3349,10.5604,2960.67,2971.23
512,3354,10.5444,2960.69,2971.23
512,3359,10.5291,2960.7,2971.23
512,3364,10.5132,2960.72,2971.23
512,3369,10.4978,2960.73,2971.23
512,3374,10.4819,2960.75,2971.23
512,3379,10.4663,2960.76,2971.23
512,3384,10.4505,2960.78,2971.23
512,3389,10.4352,2960.8,2971.23
512,3394,10.4195,2960.81,2971.23
512,3399,10.404,2960.83,2971.23
512,3404,10.3886,2960.84,2971.22
512,3409,10.3732,2960.85,2971.22
512,3414,10.3579,2960.87,2971.23
512,3419,10.3427,2960.89,2971.24
512,3424,10.3279,2960.9,2971.23
512,3429,10.3124,2960.92,2971.23
512,3434,10.2973,2960.93,2971.22
512,3439,10.2817,2960.94,2971.22
512,3444,10.2667,2960.96,2971.23
512,3449,10.2519,2960.98,2971.24
512,3454,10.2371,2961,2971.23
512,3459,10.2221,2961.01,2971.23
512,3464,10.2071,2961.02,2971.23
512,3469,10.1925,2961.03,2971.22
512,3474,10.1776,2961.05,2971.23
512,3479,10.1628,2961.07,2971.23
512,3484,10.1481,2961.08,2971.23
512,3489,10.1332,2961.1,2971.23
512,3494,10.1189,2961.11,2971.23
512,3499,10.1045,2961.12,2971.22
512,3504,10.0894,2961.14,2971.23
512,3509,10.075,2961.16,2971.23
512,3514,10.0608,2961.17,2971.23
512,3519,10.0464,2961.18,2971.23
512,3524,10.0323,2961.2,2971.23
512,3529,10.0178,2961.21,2971.23
512,3534,10.0035,2961.22,2971.22
512,3539,9.98919,2961.24,2971.23
512,3544,9.97502,2961.26,2971.23
512,3549,9.96068,2961.27,2971.23
512,3554,9.94652,2961.28,2971.23
